1,"""Chilled to perfection"" united airlines url"
2,I know it is not politically correct but the 22 year old blonde chick pilot doesn't make me feel as comfortable as the 65 yo Vietnam vet who still wears his squadron jacket. unitedairlines
3,"frustrating united airlines. my wife was supposed to get started from IAD to BDL around 1:30 and it got delayed saying the crew did not arrive and then oxygen issue. It was delayed for another 1hr and finally, they said they are missing a part. no ETA"
4,"Mesa says it will halt American Airlines flights, finalizing deal with United boeing unitedairlines jonathanornstein airwisconsin mesaairlines americaneagle  emoji flecha hacia la derecha emoji  Now on url  url"
5,"UA718 - Incident: United A320 at Mexico City on Dec 17th 2022, engine problem url flight incident united airlines ua718 mex sfo"
6,"One of the world's largest Airlines united airlines is only paying Workers in la  $18.04 cent an hour starting is what he said when asking me for advice before applying. Are you serious.
I told my brother. Apply for @usuario or @usuario.Their starting at over $23!"
7,ATTN ILLINOIS RESIDENTS - You may be entitled to significant compensation if amazon dunkin donuts ford kroger mc donalds ross dressfor less tyson Foods Inc. united airlines or walmart asked About Your Family's Medical History privacy url
8,united airlines surprised to learn your policy is to charge the full fare difference (which may be exorbitant by the nature of when this would occur vs the departure date) if one wants to delay departure due to a sick child. Do u think this policy is responsible in this climate?
9,"Beautiful sunrise on the flight to Washington.
12/18/2022
travel airport unitedairlines sunrise airplane #旅行 #空港 #ユナイテッド航空 #飛行機 #朝焼け url"
10,This terrible experience happened twice now with @usuario and its partner united airlines where my Platinum status meant zilch. Last min Intl flight cancellations with no apology nor compensation just made virgin aus on my rock bottom list. Never again.
11,"United States: Hartsfield-Jackson Atlanta International Airport Reveals Latest Expansion of New Gates
url
airportir modalisnewsfeed airports unitedstates atl atlanta expansion infrastructure unitedairlines"
12,United Airlines to Axe 50 Daily Flights at NewarkAbout Time a Carrier Stepped Up! url unitedairlines url
13,united airlines surprised to learn your policy is to charge the full fare difference (which may be exorbitant by the nature of when this would occur vs the departure date) if one wants to delay a departure due to a sick child.   Seems a bit harsh to me in the current climate
14,"united airlines  never again. They should be ""Good is not the way"""
15,United Airlines Invests an Additional $15 Million in Electric Flying Taxi Market url unitedairlines url
16,united airlines now at Houston gate 22 with Supervisor who is pointing her finger at me and trying to get me to cry
17,united airlines lies!! Flight attend said we would make our connection and they knew we were coming! We made it to the gate before the take off time . Plane was gone! No one will help me at the gate Theodora Francesca!
18,The fucking airlines do whatever the fuck they want with no consequences in this lovely country of ours! FUCK YOU united airlines
19,MFE (McAllen Tx) has just received the new 737-MAX8 into the station and what a beautiful aircraft!!! First MAX aircraft to land!!! @usuario @usuario @usuario @usuario @usuario  silversafety unitedairlines next goal is GOLD status! #956 rgv url url
20,MFE (McAllen Tx) has just received the new 737-MAX8 into the station and what a beautiful aircraft!!! First MAX aircraft to land!!! @usuario @usuario @usuario @usuario @usuario  silversafety unitedairlines next goal is GOLD status! url url
